sbert_short,encoding,compression_method,n_qubits,mean,std,count
MiniLM,amplitude,pca,4,0.52724,0.01909939508204383,5
MiniLM,amplitude,pca,5,0.5559312000000001,0.024807064451482334,5
MiniLM,amplitude,pca,6,0.5838482,0.026079642811971164,5
MiniLM,amplitude,pca,7,0.5549316,0.018788916528102422,5
MiniLM,amplitude,pca,8,0.5646298,0.01999713567489106,5
MiniLM,amplitude,pca,9,0.7328656,0.017281105471005045,5
MiniLM,amplitude,pca,10,0.7281544,0.00890783797001272,5
MiniLM,amplitude,word2ket,4,0.7398682,0.004650311623966694,5
MiniLM,amplitude,word2ket,5,0.7375225999999999,0.006493650614253876,5
MiniLM,amplitude,word2ket,6,0.7319964,0.0027438139149731115,5
MiniLM,amplitude,word2ket,7,0.739281,0.006319273178143185,5
MiniLM,amplitude,word2ket,8,0.739257,0.007740816655883258,5
MiniLM,amplitude,word2ket,9,0.7382253999999999,0.007915424896997005,5
MiniLM,amplitude,word2ket,10,0.7425262,0.006665221279147492,5
MiniLM,angle_X,pca,4,0.7305886,0.006149701887083701,5
MiniLM,angle_X,pca,5,0.7073686,0.006304863939848338,5
MiniLM,angle_X,pca,6,0.7174988,0.011288610574379816,5
MiniLM,angle_X,pca,7,0.69897,0.016535408386248025,5
MiniLM,angle_X,pca,8,0.7037796000000001,0.02596573737254535,5
MiniLM,angle_X,pca,9,0.6746546,0.0452308558154718,5
MiniLM,angle_X,pca,10,0.6398659999999999,0.04586407383780906,5
MiniLM,angle_X,w2k-angle,4,0.7411646,0.004062124973459097,5
MiniLM,angle_X,w2k-angle,5,0.7352274000000001,0.01116925970241535,5
MiniLM,angle_X,w2k-angle,6,0.731058,0.004285951119646617,5
MiniLM,angle_X,w2k-angle,7,0.7396948,0.005034232583025904,5
MiniLM,angle_X,w2k-angle,8,0.7374212,0.009387676320581137,5
MiniLM,angle_X,w2k-angle,9,0.7382236,0.0071357787101339115,5
MiniLM,angle_X,w2k-angle,10,0.7388894,0.004433021463967946,5
mpnet,amplitude,pca,4,0.6592098,0.016587124123849814,5
mpnet,amplitude,pca,5,0.6580834,0.026007216513883196,5
mpnet,amplitude,pca,6,0.6680578,0.031451750010134574,5
mpnet,amplitude,pca,7,0.6904876,0.018007827611902574,5
mpnet,amplitude,pca,8,0.6648314,0.015479634259245275,5
mpnet,amplitude,pca,9,0.6811872,0.014535108692404018,5
mpnet,amplitude,pca,10,0.8374242000000001,0.008480681234429223,5
mpnet,amplitude,word2ket,4,0.8597314,0.0008064495024488214,5
mpnet,amplitude,word2ket,5,0.8629472,0.00550375682602346,5
mpnet,amplitude,word2ket,6,0.8618864,0.005326491697168051,5
mpnet,amplitude,word2ket,7,0.8694132,0.006222254390492244,5
mpnet,amplitude,word2ket,8,0.872606,0.004472869604627454,5
mpnet,amplitude,word2ket,9,0.8763802,0.004655973711265929,5
mpnet,amplitude,word2ket,10,0.8794192000000001,0.003360466440838242,5
mpnet,angle_X,pca,4,0.860765,0.006707505721205154,5
mpnet,angle_X,pca,5,0.8531876,0.006932413526326872,5
mpnet,angle_X,pca,6,0.8403378,0.009362499516688915,5
mpnet,angle_X,pca,7,0.8288314,0.01744383368987449,5
mpnet,angle_X,pca,8,0.8079466,0.02779983465418455,5
mpnet,angle_X,pca,9,0.7865454,0.036334657137504424,5
mpnet,angle_X,pca,10,0.8211684,0.062167902584854814,5
mpnet,angle_X,w2k-angle,4,0.8602386,0.002842888284825834,5
mpnet,angle_X,w2k-angle,5,0.863399,0.004583222174409609,5
mpnet,angle_X,w2k-angle,6,0.8609462000000001,0.004016019696166866,5
mpnet,angle_X,w2k-angle,7,0.8703098,0.003879218954892865,5
mpnet,angle_X,w2k-angle,8,0.8699614,0.0009132208385708203,5
mpnet,angle_X,w2k-angle,9,0.8722318,0.002546075254190244,5
mpnet,angle_X,w2k-angle,10,0.8772475999999999,0.0037407801726377847,5
